template_id,pattern,pattern_nomal,sample_log,version,is_active,semantic_info,advise,created_at,updated_at,source
2760,"^voice control msg timeout!! [-+]?(?:\d+.\d*|.\d+|\d+), vins: [-+]?(?:\d+.\d*|.\d+|\d+)!!$","^voice control msg timeout!! NUMNUM, vins: NUMNUM!!$","voice control msg timeout!! NUMNUM, vins: NUMNUM!!",1,1,语音控制消息超时,检查语音控制模块或 VINS 系统状态,2025/12/6 18:29,2025/12/6 18:29,langchain
1127,"^VinsInterpolator:[-+]?(?:\d+.\d*|.\d+|\d+) sensor_ms: [-+]?(?:\d+.\d*|.\d+|\d+), nearest_vins: [-+]?(?:\d+.\d*|.\d+|\d+), second_nearest_vins: [-+]?(?:\d+.\d*|.\d+|\d+) newest vins: [-+]?(?:\d+.\d*|.\d+|\d+) diff: [-+]?(?:\d+.\d*|.\d+|\d+)$","^VinsInterpolator:NUMNUM sensor_ms: NUMNUM, nearest_vins: NUMNUM, second_nearest_vins: NUMNUM newest vins: NUMNUM diff: NUMNUM$","VinsInterpolator:NUMNUM sensor_ms: NUMNUM, nearest_vins: NUMNUM, second_nearest_vins: NUMNUM newest vins: NUMNUM diff: NUMNUM",1,1,VINS插值器记录传感器时间戳与VINS数据插值详情,,2025/12/6 17:07,2025/12/6 17:07,langchain
2768,"^vins_stereo_feature_msg feat num = [-+]?(?:\d+.\d*|.\d+|\d+), [-+]?(?:\d+.\d*|.\d+|\d+)\(tid:[-+]?(?:\d+.\d*|.\d+|\d+)\)$","^vins_stereo_feature_msg feat num = NUMNUM, NUMNUM\(tid:NUMNUM\)$","vins_stereo_feature_msg feat num = NUMNUM, NUMNUM(tid:NUMNUM)",1,1,VINS 立体视觉特征消息数量,,2025/12/6 18:29,2025/12/6 18:29,langchain
2763,^vins_dp (?:position|velocity|acceleration|orientation) st\[[-+]?(?:\d+.\d*|.\d+|\d+)\] (?:x [-+]?(?:\d+.\d*|.\d+|\d+) y [-+]?(?:\d+.\d*|.\d+|\d+) z [-+]?(?:\d+.\d*|.\d+|\d+)|w [-+]?(?:\d+.\d*|.\d+|\d+) x [-+]?(?:\d+.\d*|.\d+|\d+) y [-+]?(?:\d+.\d*|.\d+|\d+) z-[-+]?(?:\d+.\d*|.\d+|\d+)) \.$,^vins_dp (?:position|velocity|acceleration|orientation) st\[NUMNUM\] (?:x NUMNUM y NUMNUM z NUMNUM|w NUMNUM x NUMNUM y NUMNUM z-NUMNUM) \.$,vins_dp position st[NUMNUM] x NUMNUM y NUMNUM z NUMNUM .,1,1,VINS 双点位置、速度、加速度或姿态信息,,2025/12/6 18:29,2025/12/6 18:29,langchain
2754,^vins time stamp [-+]?(?:\d+.\d*|.\d+|\d+)$,^vins time stamp NUMNUM$,vins time stamp NUMNUM,1,1,VINS 系统时间戳,,2025/12/6 18:29,2025/12/6 18:29,langchain
2767,"^vins feature size \(left, right\):\([-+]?(?:\d+.\d*|.\d+|\d+), [-+]?(?:\d+.\d*|.\d+|\d+)\)\(tid:[-+]?(?:\d+.\d*|.\d+|\d+)\)$","^vins feature size \(left, right\):\(NUMNUM, NUMNUM\)\(tid:NUMNUM\)$","vins feature size (left, right):(NUMNUM, NUMNUM)(tid:NUMNUM)",1,1,VINS 左右相机特征点数量,,2025/12/6 18:29,2025/12/6 18:29,langchain
2787,"^vins\s+:\|\|    gnss_rover_rtcm: \|    gnss_base_rtcm :\|{0,}$","^vins\s+:\|\|    gnss_rover_rtcm: \|    gnss_base_rtcm :\|{0,}$",vins           :||    gnss_rover_rtcm: |    gnss_base_rtcm :|||||||||||,1,1,VINS 与 GNSS 的 RTCM 数据状态指示,,2025/12/6 18:30,2025/12/6 18:30,langchain
2772,"^vincent3 bev_map_in_scale=[-+]?(?:\d+.\d*|.\d+|\d+), bev_maps_offset=[-+]?(?:\d+.\d*|.\d+|\d+), bev_map_min=[-+]?(?:\d+.\d*|.\d+|\d+), bev_map_max=[-+]?(?:\d+.\d*|.\d+|\d+), bev_map_padw=[-+]?(?:\d+.\d*|.\d+|\d+), bev_map_padh=[-+]?(?:\d+.\d*|.\d+|\d+), sdmap_bev_pts.size=[-+]?(?:\d+.\d*|.\d+|\d+)$","^vincent3 bev_map_in_scale=NUMNUM, bev_maps_offset=NUMNUM, bev_map_min=NUMNUM, bev_map_max=NUMNUM, bev_map_padw=NUMNUM, bev_map_padh=NUMNUM, sdmap_bev_pts.size=NUMNUM$","vincent3 bev_map_in_scale=NUMNUM, bev_maps_offset=NUMNUM, bev_map_min=NUMNUM, bev_map_max=NUMNUM, bev_map_padw=NUMNUM, bev_map_padh=NUMNUM, sdmap_bev_pts.size=NUMNUM",1,1,BEV 地图相关参数配置,,2025/12/6 18:29,2025/12/6 18:29,langchain
2773,^vincent \[GetBevLaneTensor\] sensor_time=[-+]?(?:\d+.\d*|.\d+|\d+) BEV_HEIGHT=[-+]?(?:\d+.\d*|.\d+|\d+) BEV_WIDTH=[-+]?(?:\d+.\d*|.\d+|\d+) BEV_RESL=[-+]?(?:\d+.\d*|.\d+|\d+) BEV_RESL_REV=[-+]?(?:\d+.\d*|.\d+|\d+) BEV_ORI_X=[-+]?(?:\d+.\d*|.\d+|\d+) BEV_ORI_Y=[-+]?(?:\d+.\d*|.\d+|\d+) MAX_VELOCITY=[-+]?(?:\d+.\d*|.\d+|\d+) bev_map_padw=[-+]?(?:\d+.\d*|.\d+|\d+) bev_map_padh=[-+]?(?:\d+.\d*|.\d+|\d+) bev_map_padwh_stride=[-+]?(?:\d+.\d*|.\d+|\d+) bev_map_in_scale=[-+]?(?:\d+.\d*|.\d+|\d+) bev_maps_offset=[-+]?(?:\d+.\d*|.\d+|\d+) bev_maps_channel=[-+]?(?:\d+.\d*|.\d+|\d+) bev_map_min=[-+]?(?:\d+.\d*|.\d+|\d+) bev_map_max=[-+]?(?:\d+.\d*|.\d+|\d+)$,^vincent \[GetBevLaneTensor\] sensor_time=NUMNUM BEV_HEIGHT=NUMNUM BEV_WIDTH=NUMNUM BEV_RESL=NUMNUM BEV_RESL_REV=NUMNUM BEV_ORI_X=NUMNUM BEV_ORI_Y=NUMNUM MAX_VELOCITY=NUMNUM bev_map_padw=NUMNUM bev_map_padh=NUMNUM bev_map_padwh_stride=NUMNUM bev_map_in_scale=NUMNUM bev_maps_offset=NUMNUM bev_maps_channel=NUMNUM bev_map_min=NUMNUM bev_map_max=NUMNUM$,vincent [GetBevLaneTensor] sensor_time=NUMNUM BEV_HEIGHT=NUMNUM BEV_WIDTH=NUMNUM BEV_RESL=NUMNUM BEV_RESL_REV=NUMNUM BEV_ORI_X=NUMNUM BEV_ORI_Y=NUMNUM MAX_VELOCITY=NUMNUM bev_map_padw=NUMNUM bev_map_padh=NUMNUM bev_map_padwh_stride=NUMNUM bev_map_in_scale=NUMNUM bev_maps_offset=NUMNUM bev_maps_channel=NUMNUM bev_map_min=NUMNUM bev_map_max=NUMNUM,1,1,获取 BEV 车道线张量时的详细参数列表,,2025/12/6 18:29,2025/12/6 18:29,langchain
2761,^vhnoddiatodest:DisToDest change from [-+]?(?:\d+.\d*|.\d+|\d+) to [-+]?(?:\d+.\d*|.\d+|\d+)$,^vhnoddiatodest:DisToDest change from NUMNUM to NUMNUM$,vhnoddiatodest:DisToDest change from NUMNUM to NUMNUM,1,1,到目的地距离发生变化,,2025/12/6 18:29,2025/12/6 18:29,langchain
2757,^version of [-+]?(?:\d+.\d*|.\d+|\d+) is [-+]?(?:\d+.\d*|.\d+|\d+)[-+]?(?:\d+.\d*|.\d+|\d+)$,^version of NUMNUM is NUMNUMNUMNUM$,version of NUMNUM is NUMNUMNUMNUM,1,1,模块版本号信息,,2025/12/6 18:29,2025/12/6 18:29,langchain
2771,^version file /mnt/dji/partitions/data/alam_data/csm/[-+]?(?:\d+.\d*|.\d+|\d+)/[-+]?(?:\d+.\d*|.\d+|\d+)/csm_meta_info.bin not exit$,^version file /mnt/dji/partitions/data/alam_data/csm/NUMNUM/NUMNUM/csm_meta_info.bin not exit$,version file /mnt/dji/partitions/data/alam_data/csm/NUMNUM/NUMNUM/csm_meta_info.bin not exit,1,1,版本文件不存在,检查文件路径及文件系统完整性,2025/12/6 18:29,2025/12/6 18:29,langchain
2764,"^version cmp :  [-+]?(?:\d+.\d*|.\d+|\d+), [-+]?(?:\d+.\d*|.\d+|\d+), [-+]?(?:\d+.\d*|.\d+|\d+)[-+]?(?:\d+.\d*|.\d+|\d+), [-+]?(?:\d+.\d*|.\d+|\d+)[-+]?(?:\d+.\d*|.\d+|\d+)\.$","^version cmp :  NUMNUM, NUMNUM, NUMNUMNUMNUM, NUMNUMNUMNUM\.$","version cmp :  NUMNUM, NUMNUM, NUMNUMNUMNUM, NUMNUMNUMNUM.",1,1,版本号对比结果,,2025/12/6 18:29,2025/12/6 18:29,langchain
1122,"^VehSpd: (?:[-+]?(?:\d+.\d*|.\d+|\d+), ){6}[-+]?(?:\d+.\d*|.\d+|\d+)$","^VehSpd: (?:NUMNUM, ){6}NUMNUM$","VehSpd: NUMNUM, vcu_speed: NUMNUM, vins_lon_vel: NUMNUM, ic_speed: NUMNUM, cal_ic_speed: NUMNUM, vehicle_speed: NUMNUM, Pp_VehSpd: NUMNUM",1,1,多个来源的车辆速度信息汇总报告,,2025/12/6 17:07,2025/12/6 17:07,langchain
2759,"^veh_gear: [-+]?(?:\d+.\d*|.\d+|\d+), actual_gear_pos: [-+]?(?:\d+.\d*|.\d+|\d+)$","^veh_gear: NUMNUM, actual_gear_pos: NUMNUM$","veh_gear: NUMNUM, actual_gear_pos: NUMNUM",1,1,车辆挡位状态报告,,2025/12/6 18:29,2025/12/6 18:29,langchain
1106,^VanishPointVoteStatus NO_ENOUGH_TIME [-+]?(?:\d+.\d*|.\d+|\d+) < [-+]?(?:\d+.\d*|.\d+|\d+)\(min_accutime_useconds\)\(Every1[-+]?(?:\d+.\d*|.\d+|\d+)\)\(tid:[-+]?(?:\d+.\d*|.\d+|\d+)\)$,^VanishPointVoteStatus NO_ENOUGH_TIME NUMNUM < NUMNUM\(min_accutime_useconds\)\(Every1NUMNUM\)\(tid:NUMNUM\)$,VanishPointVoteStatus NO_ENOUGH_TIME NUMNUM < NUMNUM(min_accutime_useconds)(Every1NUMNUM)(tid:NUMNUM),1,1,消失点投票因累计时间不足而失败,检查时间累加逻辑或最小精度时间阈值配置,2025/12/6 17:06,2025/12/6 17:06,langchain
2758,^vanish_point_status is [-+]?(?:\d+.\d*|.\d+|\d+)\(tid:[-+]?(?:\d+.\d*|.\d+|\d+)\)$,^vanish_point_status is NUMNUM\(tid:NUMNUM\)$,vanish_point_status is NUMNUM(tid:NUMNUM),1,1,消失点状态报告,,2025/12/6 18:29,2025/12/6 18:29,langchain
2765,"^valild_tele_box_num = [-+]?(?:\d+.\d*|.\d+|\d+), unvaild_tele_box_num = [-+]?(?:\d+.\d*|.\d+|\d+)$","^valild_tele_box_num = NUMNUM, unvaild_tele_box_num = NUMNUM$","valild_tele_box_num = NUMNUM, unvaild_tele_box_num = NUMNUM",1,1,有效及无效远程盒子数量统计,,2025/12/6 18:29,2025/12/6 18:29,langchain
2713,"^valild_resize_box_num = [-+]?(?:\d+.\d*|.\d+|\d+), unvaild_resize_box_num = [-+]?(?:\d+.\d*|.\d+|\d+)$","^valild_resize_box_num = NUMNUM, unvaild_resize_box_num = NUMNUM$","valild_resize_box_num = NUMNUM, unvaild_resize_box_num = NUMNUM",1,1,记录有效和无效的缩放框数量,,2025/12/6 18:27,2025/12/6 18:27,langchain
2711,"^valild_crop_box_num = [-+]?(?:\d+.\d*|.\d+|\d+), unvaild_crop_box_num = [-+]?(?:\d+.\d*|.\d+|\d+)$","^valild_crop_box_num = NUMNUM, unvaild_crop_box_num = NUMNUM$","valild_crop_box_num = NUMNUM, unvaild_crop_box_num = NUMNUM",1,1,记录有效和无效的裁剪框数量,,2025/12/6 18:27,2025/12/6 18:27,langchain
1104,"^ValidateTargetInfo: skip [-+]?(?:\d+.\d*|.\d+|\d+) for passive collision at [-+]?(?:\d+.\d*|.\d+|\d+), threshold [-+]?(?:\d+.\d*|.\d+|\d+)$","^ValidateTargetInfo: skip NUMNUM for passive collision at NUMNUM, threshold NUMNUM$","ValidateTargetInfo: skip NUMNUM for passive collision at NUMNUM, threshold NUMNUM",1,1,因潜在被动碰撞而跳过目标验证,检查碰撞预测算法与阈值设置,2025/12/6 17:06,2025/12/6 17:06,langchain
2699,^valid_goal_point_num: [-+]?(?:\d+.\d*|.\d+|\d+)$,^valid_goal_point_num: NUMNUM$,valid_goal_point_num: NUMNUM,1,1,记录有效目标点的数量,,2025/12/6 18:27,2025/12/6 18:27,langchain
2701,^valid_goal_point_num : [-+]?(?:\d+.\d*|.\d+|\d+)$,^valid_goal_point_num : NUMNUM$,valid_goal_point_num : NUMNUM,1,1,记录有效目标点的数量（空格格式）,,2025/12/6 18:27,2025/12/6 18:27,langchain
2721,"^valid_flag:[-+]?(?:\d+.\d*|.\d+|\d+), front_mot_lon_dist: [-+]?(?:\d+.\d*|.\d+|\d+), s_jam:[-+]?(?:\d+.\d*|.\d+|\d+), use_mot:\([-+]?(?:\d+.\d*|.\d+|\d+), [-+]?(?:\d+.\d*|.\d+|\d+)\), lon_v:[-+]?(?:\d+.\d*|.\d+|\d+), lon_a:[-+]?(?:\d+.\d*|.\d+|\d+), id_agent_now:[-+]?(?:\d+.\d*|.\d+|\d+)$","^valid_flag:NUMNUM, front_mot_lon_dist: NUMNUM, s_jam:NUMNUM, use_mot:\(NUMNUM, NUMNUM\), lon_v:NUMNUM, lon_a:NUMNUM, id_agent_now:NUMNUM$","valid_flag:NUMNUM, front_mot_lon_dist: NUMNUM, s_jam:NUMNUM, use_mot:(NUMNUM, NUMNUM), lon_v:NUMNUM, lon_a:NUMNUM, id_agent_now:NUMNUM",1,1,记录有效性标志、前方移动目标纵向距离、拥堵状态及多个相关参数,,2025/12/6 18:27,2025/12/6 18:27,langchain
2698,^valid_eval_decisions: [-+]?(?:\d+.\d*|.\d+|\d+)$,^valid_eval_decisions: NUMNUM$,valid_eval_decisions: NUMNUM,1,1,记录有效决策的数量,,2025/12/6 18:27,2025/12/6 18:27,langchain
2723,"^valid:[-+]?(?:\d+.\d*|.\d+|\d+),icon:[-+]?(?:\d+.\d*|.\d+|\d+),dist:[-+]?(?:\d+.\d*|.\d+|\d+)\[m\],lc:[-+]?(?:\d+.\d*|.\d+|\d+),trigger:[-+]?(?:\d+.\d*|.\d+|\d+),speed:[-+]?(?:\d+.\d*|.\d+|\d+)\[km/h\],div:[-+]?(?:\d+.\d*|.\d+|\d+),dist:[-+]?(?:\d+.\d*|.\d+|\d+)\[m\],parallel:[-+]?(?:\d+.\d*|.\d+|\d+),suppress:[-+]?(?:\d+.\d*|.\d+|\d+),path id:[-+]?(?:\d+.\d*|.\d+|\d+),ramp2highway:[-+]?(?:\d+.\d*|.\d+|\d+)\[m\],highway2ramp:[-+]?(?:\d+.\d*|.\d+|\d+)\[m\],ramp:[-+]?(?:\d+.\d*|.\d+|\d+),complex:[-+]?(?:\d+.\d*|.\d+|\d+),tollgate:[-+]?(?:\d+.\d*|.\d+|\d+)\[m\],upon_highway:[-+]?(?:\d+.\d*|.\d+|\d+),abnormal:[-+]?(?:\d+.\d*|.\d+|\d+),tunnel:[-+]?(?:\d+.\d*|.\d+|\d+)$","^valid:NUMNUM,icon:NUMNUM,dist:NUMNUM\[m\],lc:NUMNUM,trigger:NUMNUM,speed:NUMNUM\[km/h\],div:NUMNUM,dist:NUMNUM\[m\],parallel:NUMNUM,suppress:NUMNUM,path id:NUMNUM,ramp2highway:NUMNUM\[m\],highway2ramp:NUMNUM\[m\],ramp:NUMNUM,complex:NUMNUM,tollgate:NUMNUM\[m\],upon_highway:NUMNUM,abnormal:NUMNUM,tunnel:NUMNUM$","valid:NUMNUM,icon:NUMNUM,dist:NUMNUM[m],lc:NUMNUM,trigger:NUMNUM,speed:NUMNUM[km/h],div:NUMNUM,dist:NUMNUM[m],parallel:NUMNUM,suppress:NUMNUM,path id:NUMNUM,ramp2highway:NUMNUM[m],highway2ramp:NUMNUM[m],ramp:NUMNUM,complex:NUMNUM,tollgate:NUMNUM[m],upon_highway:NUMNUM,abnormal:NUMNUM,tunnel:NUMNUM",1,1,记录一条包含有效性、图标、距离、变道、速度、匝道、收费站、隧道等多种驾驶场景信息的综合日志,,2025/12/6 18:27,2025/12/6 18:27,langchain
2707,"^valid:[-+]?(?:\d+.\d*|.\d+|\d+), v:[-+]?(?:\d+.\d*|.\d+|\d+), stop_dis:[-+]?(?:\d+.\d*|.\d+|\d+)$","^valid:NUMNUM, v:NUMNUM, stop_dis:NUMNUM$","valid:NUMNUM, v:NUMNUM, stop_dis:NUMNUM",1,1,记录有效性、速度和停车距离,,2025/12/6 18:27,2025/12/6 18:27,langchain
1108,"^Valid:[-+]?(?:\d+.\d*|.\d+|\d+), overtake:\([-+]?(?:\d+.\d*|.\d+|\d+),[-+]?(?:\d+.\d*|.\d+|\d+),[-+]?(?:\d+.\d*|.\d+|\d+)\), lc:[-+]?(?:\d+.\d*|.\d+|\d+), distances:\([-+]?(?:\d+.\d*|.\d+|\d+),[-+]?(?:\d+.\d*|.\d+|\d+),[-+]?(?:\d+.\d*|.\d+|\d+),[-+]?(?:\d+.\d*|.\d+|\d+)\), preferred:[-+]?(?:\d+.\d*|.\d+|\d+), road:.*, ramp:[-+]?(?:\d+.\d*|.\d+|\d+), id:[-+]?(?:\d+.\d*|.\d+|\d+), case:[-+]?(?:\d+.\d*|.\d+|\d+)$","^Valid:NUMNUM, overtake:\(NUMNUM,NUMNUM,NUMNUM\), lc:NUMNUM, distances:\(NUMNUM,NUMNUM,NUMNUM,NUMNUM\), preferred:NUMNUM, road:.*, ramp:NUMNUM, id:NUMNUM, case:NUMNUM$","Valid:NUMNUM, overtake:(NUMNUM,NUMNUM,NUMNUM), lc:NUMNUM, distances:(NUMNUM,NUMNUM,NUMNUM,NUMNUM), preferred:NUMNUM, road:高速公路, ramp:NUMNUM, id:NUMNUM, case:NUMNUM",1,1,换道决策相关的综合状态信息,,2025/12/6 17:06,2025/12/6 17:06,langchain
2715,"^valid:[-+]?(?:\d+.\d*|.\d+|\d+), front_mot_v:[-+]?(?:\d+.\d*|.\d+|\d+), front_mot_a:[-+]?(?:\d+.\d*|.\d+|\d+), front_mot_dist:[-+]?(?:\d+.\d*|.\d+|\d+)$","^valid:NUMNUM, front_mot_v:NUMNUM, front_mot_a:NUMNUM, front_mot_dist:NUMNUM$","valid:NUMNUM, front_mot_v:NUMNUM, front_mot_a:NUMNUM, front_mot_dist:NUMNUM",1,1,记录有效性、前方移动目标的速度、加速度和距离,,2025/12/6 18:27,2025/12/6 18:27,langchain
2716,^valid:Norm-[-+]?(?:\d+.\d*|.\d+|\d+) (?:NN-[-+]?(?:\d+.\d*|.\d+|\d+)){6}$,^valid:Norm-NUMNUM (?:NN-NUMNUM){6}$,valid:Norm-NUMNUM NN-NUMNUM NN-NUMNUM NN-NUMNUM NN-NUMNUM NN-NUMNUM NN-NUMNUM,1,1,记录某种归一化的有效性数据,,2025/12/6 18:27,2025/12/6 18:27,langchain
2700,"^valid: [-+]?(?:\d+.\d*|.\d+|\d+), s: inf, v: inf$","^valid: NUMNUM, s: inf, v: inf$","valid: NUMNUM, s: inf, v: inf",1,1,记录有效性、距离和速度信息，其中距离和速度为无穷大,,2025/12/6 18:27,2025/12/6 18:27,langchain
2714,"^val1 / thr1 : [-+]?(?:\d+.\d*|.\d+|\d+) / [-+]?(?:\d+.\d*|.\d+|\d+), val2 / thr2 : [-+]?(?:\d+.\d*|.\d+|\d+) / [-+]?(?:\d+.\d*|.\d+|\d+)\(tid:[-+]?(?:\d+.\d*|.\d+|\d+)\)$","^val1 / thr1 : NUMNUM / NUMNUM, val2 / thr2 : NUMNUM / NUMNUM\(tid:NUMNUM\)$","val1 / thr1 : NUMNUM / NUMNUM, val2 / thr2 : NUMNUM / NUMNUM(tid:NUMNUM)",1,1,记录两组值与阈值的比较及任务ID,,2025/12/6 18:27,2025/12/6 18:27,langchain
2706,^val / thr : [-+]?(?:\d+.\d*|.\d+|\d+) / [-+]?(?:\d+.\d*|.\d+|\d+)\(tid:[-+]?(?:\d+.\d*|.\d+|\d+)\)$,^val / thr : NUMNUM / NUMNUM\(tid:NUMNUM\)$,val / thr : NUMNUM / NUMNUM(tid:NUMNUM),1,1,记录某个值与阈值的比较及任务ID,,2025/12/6 18:27,2025/12/6 18:27,langchain
2719,^v:[-+]?(?:\d+.\d*|.\d+|\d+) a:[-+]?(?:\d+.\d*|.\d+|\d+) j:[-+]?(?:\d+.\d*|.\d+|\d+) q:[-+]?(?:\d+.\d*|.\d+|\d+) k:[-+]?(?:\d+.\d*|.\d+|\d+)e-[-+]?(?:\d+.\d*|.\d+|\d+) p:[-+]?(?:\d+.\d*|.\d+|\d+)e-[-+]?(?:\d+.\d*|.\d+|\d+) t\[[-+]?(?:\d+.\d*|.\d+|\d+) [-+]?(?:\d+.\d*|.\d+|\d+)\] e:[-+]?(?:\d+.\d*|.\d+|\d+) m:[-+]?(?:\d+.\d*|.\d+|\d+)$,^v:NUMNUM a:NUMNUM j:NUMNUM q:NUMNUM k:NUMNUMe-NUMNUM p:NUMNUMe-NUMNUM t\[NUMNUM NUMNUM\] e:NUMNUM m:NUMNUM$,v:NUMNUM a:NUMNUM j:NUMNUM q:NUMNUM k:NUMNUMe-NUMNUM p:NUMNUMe-NUMNUM t[NUMNUM NUMNUM] e:NUMNUM m:NUMNUM,1,1,记录包含速度、加速度、加加速度、航向角、曲率等多个车辆运动学参数（科学计数法）,,2025/12/6 18:27,2025/12/6 18:27,langchain
2718,^v:[-+]?(?:\d+.\d*|.\d+|\d+) a:[-+]?(?:\d+.\d*|.\d+|\d+) j:[-+]?(?:\d+.\d*|.\d+|\d+) q:[-+]?(?:\d+.\d*|.\d+|\d+) k:[-+]?(?:\d+.\d*|.\d+|\d+) p:[-+]?(?:\d+.\d*|.\d+|\d+)e-[-+]?(?:\d+.\d*|.\d+|\d+) t\[[-+]?(?:\d+.\d*|.\d+|\d+) [-+]?(?:\d+.\d*|.\d+|\d+)\] e:[-+]?(?:\d+.\d*|.\d+|\d+) m:[-+]?(?:\d+.\d*|.\d+|\d+)$,^v:NUMNUM a:NUMNUM j:NUMNUM q:NUMNUM k:NUMNUM p:NUMNUMe-NUMNUM t\[NUMNUM NUMNUM\] e:NUMNUM m:NUMNUM$,v:NUMNUM a:NUMNUM j:NUMNUM q:NUMNUM k:NUMNUM p:NUMNUMe-NUMNUM t[NUMNUM NUMNUM] e:NUMNUM m:NUMNUM,1,1,记录包含速度、加速度、加加速度、航向角、曲率等多个车辆运动学参数,,2025/12/6 18:27,2025/12/6 18:27,langchain
